Summary Orientations,,,,,,,,Core Orientations,,,,,,,,,,,,,,,,,,,,,,,,Block Orientations,,,,,,,,,,,,,,,,,,,,,,,
site,specimen,old_mag_core_strike,old_core_dip,new_mag_core_strike,new_core_dip,strike_correction,dip_correction,specimen,sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike,specimen,sample_name,comment,strat_level,magnetic_block_strike,block_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,block_shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_block_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec_block,block_strike,corrected_bedding_strike
NWFA,NWFA-5A,306,110,190.3,110,-115.7,0,NWFA-5A,5,sun compass orientation,518,318.3,110,0,0,no,109,7,2024,3,18,16,11,1,nan,190.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,-128,190.3,nan,NWFA-5A,5,sun compass orientation,518,188,25,0,0,no,109,7,2024,3,18,16,11,1,nan,190.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,2.3,190.3,nan
NWFA,NWFA-5B,306,110,190.3,110,-115.7,0,NWFA-5B,5,sun compass orientation,518,318.3,110,0,0,no,109,7,2024,3,18,16,11,1,nan,190.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,-128,190.3,nan,NWFA-5B,5,sun compass orientation,518,188,25,0,0,no,109,7,2024,3,18,16,11,1,nan,190.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,2.3,190.3,nan
NWFA,NWFA-5C,306,110,190.3,110,-115.7,0,NWFA-5C,5,sun compass orientation,518,318.3,110,0,0,no,109,7,2024,3,18,16,11,1,nan,190.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,-128,190.3,nan,NWFA-5C,5,sun compass orientation,518,188,25,0,0,no,109,7,2024,3,18,16,11,1,nan,190.3,[np.float64(358.62128439892086); np.float64(20.654637202291298); np.float64(43316.65093050294)],-1.378715601,2.3,190.3,nan
NWFB,NWFB-1A,177,8,105.2,12,-71.8,4,NWFB-1A,1,mag compass orientation (IGRF corrected),0,106.6,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,105.2,nan,NWFB-1A,1,mag compass orientation (IGRF corrected),0,108,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,106.6,nan
NWFB,NWFB-1B,177,8,105.2,12,-71.8,4,NWFB-1B,1,mag compass orientation (IGRF corrected),0,106.6,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,105.2,nan,NWFB-1B,1,mag compass orientation (IGRF corrected),0,108,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,106.6,nan
NWFB,NWFB-1C,177,8,105.2,12,-71.8,4,NWFB-1C,1,mag compass orientation (IGRF corrected),0,106.6,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,105.2,nan,NWFB-1C,1,mag compass orientation (IGRF corrected),0,108,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,106.6,nan
NWFB,NWFB-1D,177,8,105.2,12,-71.8,4,NWFB-1D,1,mag compass orientation (IGRF corrected),0,106.6,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,105.2,nan,NWFB-1D,1,mag compass orientation (IGRF corrected),0,108,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,106.6,nan
NWFB,NWFB-1E,177,8,105.2,12,-71.8,4,NWFB-1E,1,mag compass orientation (IGRF corrected),0,106.6,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,105.2,nan,NWFB-1E,1,mag compass orientation (IGRF corrected),0,108,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,106.6,nan
NWFB,NWFB-1F,177,8,105.2,12,-71.8,4,NWFB-1F,1,mag compass orientation (IGRF corrected),0,106.6,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,105.2,nan,NWFB-1F,1,mag compass orientation (IGRF corrected),0,108,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,106.6,nan
NWFB,NWFB-1G,177,8,105.2,12,-71.8,4,NWFB-1G,1,mag compass orientation (IGRF corrected),0,106.6,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,105.2,nan,NWFB-1G,1,mag compass orientation (IGRF corrected),0,108,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,106.6,nan
