Summary Orientations,,,,,,,,Core Orientations,,,,,,,,,,,,,,,,,,,,,,,,Block Orientations,,,,,,,,,,,,,,,,,,,,,,,
site,specimen,old_mag_core_strike,old_core_dip,new_mag_core_strike,new_core_dip,strike_correction,dip_correction,specimen,sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike,specimen,sample_name,comment,strat_level,magnetic_block_strike,block_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,block_shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_block_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec_block,block_strike,corrected_bedding_strike
NWFC,NWFC-8H,144,70.5,342.7,70.5,198.7,0,NWFC-8H,8,sun compass orientation,0,138.7,70.5,0,0,yes,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-156,342.7,-1.4,NWFC-8H,8,sun compass orientation,0,348,41,0,0,no,8,7,2024,3,19,11,34,1,nan,342.7,[np.float64(358.6471070374679); np.float64(20.149435323641228); np.float64(43224.59237023594)],-1.352892963,-5.3,342.7,-1.4
PKQA,PKQA-0A,312,76,310.7,76,-1.3,0,PKQA-0A,0,mag compass orientation (IGRF corrected),0,312,76,0,0,yes,nan,7,2024,3,12,1,1,1,nan,nan,[np.float64(358.7070448414808); np.float64(19.461317205697974); np.float64(43144.972174496834)],-1.292955159,insufficient data,310.7,-1.3,PKQA-0A,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-0B,312,76,310.7,76,-1.3,0,PKQA-0B,0,mag compass orientation (IGRF corrected),0,312,76,0,0,yes,nan,7,2024,3,12,1,1,1,nan,nan,[np.float64(358.7070448414808); np.float64(19.461317205697974); np.float64(43144.972174496834)],-1.292955159,insufficient data,310.7,-1.3,PKQA-0B,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-0C,312,76,310.7,76,-1.3,0,PKQA-0C,0,mag compass orientation (IGRF corrected),0,312,76,0,0,yes,nan,7,2024,3,12,1,1,1,nan,nan,[np.float64(358.7070448414808); np.float64(19.461317205697974); np.float64(43144.972174496834)],-1.292955159,insufficient data,310.7,-1.3,PKQA-0C,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-0D,312,76,310.7,76,-1.3,0,PKQA-0D,0,mag compass orientation (IGRF corrected),0,312,76,0,0,yes,nan,7,2024,3,12,1,1,1,nan,nan,[np.float64(358.7070448414808); np.float64(19.461317205697974); np.float64(43144.972174496834)],-1.292955159,insufficient data,310.7,-1.3,PKQA-0D,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-0E,312,76,310.7,76,-1.3,0,PKQA-0E,0,mag compass orientation (IGRF corrected),0,312,76,0,0,yes,nan,7,2024,3,12,1,1,1,nan,nan,[np.float64(358.7070448414808); np.float64(19.461317205697974); np.float64(43144.972174496834)],-1.292955159,insufficient data,310.7,-1.3,PKQA-0E,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-0F,312,76,310.7,76,-1.3,0,PKQA-0F,0,mag compass orientation (IGRF corrected),0,312,76,0,0,yes,nan,7,2024,3,12,1,1,1,nan,nan,[np.float64(358.7070448414808); np.float64(19.461317205697974); np.float64(43144.972174496834)],-1.292955159,insufficient data,310.7,-1.3,PKQA-0F,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-0G,312,76,310.7,76,-1.3,0,PKQA-0G,0,mag compass orientation (IGRF corrected),0,312,76,0,0,yes,nan,7,2024,3,12,1,1,1,nan,nan,[np.float64(358.7070448414808); np.float64(19.461317205697974); np.float64(43144.972174496834)],-1.292955159,insufficient data,310.7,-1.3,PKQA-0G,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-0H,312,76,310.7,76,-1.3,0,PKQA-0H,0,mag compass orientation (IGRF corrected),0,312,76,0,0,yes,nan,7,2024,3,12,1,1,1,nan,nan,[np.float64(358.7070448414808); np.float64(19.461317205697974); np.float64(43144.972174496834)],-1.292955159,insufficient data,310.7,-1.3,PKQA-0H,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-1A,340,72,337.5,72,-2.5,0,PKQA-1A,1,sun compass orientation,0,340,72,0,0,yes,340,7,2024,3,12,12,3,1,nan,337.5,[np.float64(358.7069726160076); np.float64(19.461467944853478); np.float64(43145.03635175358)],-1.293027384,-2.5,337.5,-1.3,PKQA-1A,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-1B,340,72,337.5,72,-2.5,0,PKQA-1B,1,sun compass orientation,0,340,72,0,0,yes,340,7,2024,3,12,12,3,1,nan,337.5,[np.float64(358.7069726160076); np.float64(19.461467944853478); np.float64(43145.03635175358)],-1.293027384,-2.5,337.5,-1.3,PKQA-1B,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-1C,340,72,337.5,72,-2.5,0,PKQA-1C,1,sun compass orientation,0,340,72,0,0,yes,340,7,2024,3,12,12,3,1,nan,337.5,[np.float64(358.7069726160076); np.float64(19.461467944853478); np.float64(43145.03635175358)],-1.293027384,-2.5,337.5,-1.3,PKQA-1C,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-1D,340,72,337.5,72,-2.5,0,PKQA-1D,1,sun compass orientation,0,340,72,0,0,yes,340,7,2024,3,12,12,3,1,nan,337.5,[np.float64(358.7069726160076); np.float64(19.461467944853478); np.float64(43145.03635175358)],-1.293027384,-2.5,337.5,-1.3,PKQA-1D,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-1E,340,72,337.5,72,-2.5,0,PKQA-1E,1,sun compass orientation,0,340,72,0,0,yes,340,7,2024,3,12,12,3,1,nan,337.5,[np.float64(358.7069726160076); np.float64(19.461467944853478); np.float64(43145.03635175358)],-1.293027384,-2.5,337.5,-1.3,PKQA-1E,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2A,305,72,304.9,72,-0.1,0,PKQA-2A,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2A,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2B,305,72,304.9,72,-0.1,0,PKQA-2B,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2B,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2C,305,72,304.9,72,-0.1,0,PKQA-2C,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2C,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2D,305,72,304.9,72,-0.1,0,PKQA-2D,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2D,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2E,305,72,304.9,72,-0.1,0,PKQA-2E,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2E,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2F,305,72,304.9,72,-0.1,0,PKQA-2F,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2F,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2G,305,72,304.9,72,-0.1,0,PKQA-2G,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2G,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2H,305,72,304.9,72,-0.1,0,PKQA-2H,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2H,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2I,305,72,304.9,72,-0.1,0,PKQA-2I,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2I,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2J,305,72,304.9,72,-0.1,0,PKQA-2J,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2J,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2K,305,72,304.9,72,-0.1,0,PKQA-2K,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2K,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2L,305,72,304.9,72,-0.1,0,PKQA-2L,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2L,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-2M,305,72,304.9,72,-0.1,0,PKQA-2M,2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3,PKQA-2M,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-3A,292,49,290.7,49,-1.3,0,PKQA-3A,3,mag compass orientation (IGRF corrected),0,292,49,0,0,yes,nan,7,2024,3,12,10,45,1,nan,nan,[np.float64(358.70698112595346); np.float64(19.461450184071413); np.float64(43145.028790064156)],-1.293018874,insufficient data,290.7,-1.3,PKQA-3A,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-3B,292,49,290.7,49,-1.3,0,PKQA-3B,3,mag compass orientation (IGRF corrected),0,292,49,0,0,yes,nan,7,2024,3,12,10,45,1,nan,nan,[np.float64(358.70698112595346); np.float64(19.461450184071413); np.float64(43145.028790064156)],-1.293018874,insufficient data,290.7,-1.3,PKQA-3B,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-3C,292,49,290.7,49,-1.3,0,PKQA-3C,3,mag compass orientation (IGRF corrected),0,292,49,0,0,yes,nan,7,2024,3,12,10,45,1,nan,nan,[np.float64(358.70698112595346); np.float64(19.461450184071413); np.float64(43145.028790064156)],-1.293018874,insufficient data,290.7,-1.3,PKQA-3C,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-3D,292,49,290.7,49,-1.3,0,PKQA-3D,3,mag compass orientation (IGRF corrected),0,292,49,0,0,yes,nan,7,2024,3,12,10,45,1,nan,nan,[np.float64(358.70698112595346); np.float64(19.461450184071413); np.float64(43145.028790064156)],-1.293018874,insufficient data,290.7,-1.3,PKQA-3D,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-3E,292,49,290.7,49,-1.3,0,PKQA-3E,3,mag compass orientation (IGRF corrected),0,292,49,0,0,yes,nan,7,2024,3,12,10,45,1,nan,nan,[np.float64(358.70698112595346); np.float64(19.461450184071413); np.float64(43145.028790064156)],-1.293018874,insufficient data,290.7,-1.3,PKQA-3E,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-3F,292,49,290.7,49,-1.3,0,PKQA-3F,3,mag compass orientation (IGRF corrected),0,292,49,0,0,yes,nan,7,2024,3,12,10,45,1,nan,nan,[np.float64(358.70698112595346); np.float64(19.461450184071413); np.float64(43145.028790064156)],-1.293018874,insufficient data,290.7,-1.3,PKQA-3F,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-3G,292,49,290.7,49,-1.3,0,PKQA-3G,3,mag compass orientation (IGRF corrected),0,292,49,0,0,yes,nan,7,2024,3,12,10,45,1,nan,nan,[np.float64(358.70698112595346); np.float64(19.461450184071413); np.float64(43145.028790064156)],-1.293018874,insufficient data,290.7,-1.3,PKQA-3G,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-3H,292,49,290.7,49,-1.3,0,PKQA-3H,3,mag compass orientation (IGRF corrected),0,292,49,0,0,yes,nan,7,2024,3,12,10,45,1,nan,nan,[np.float64(358.70698112595346); np.float64(19.461450184071413); np.float64(43145.028790064156)],-1.293018874,insufficient data,290.7,-1.3,PKQA-3H,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-4A,307,42,310.4,42,3.4,0,PKQA-4A,4,sun compass orientation,0,307,42,0,0,yes,359,7,2024,3,12,10,48,1,nan,310.4,[np.float64(358.7069807986478); np.float64(19.46145086717855); np.float64(43145.029080898275)],-1.293019201,3.4,310.4,-1.3,PKQA-4A,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-4B,307,42,310.4,42,3.4,0,PKQA-4B,4,sun compass orientation,0,307,42,0,0,yes,359,7,2024,3,12,10,48,1,nan,310.4,[np.float64(358.7069807986478); np.float64(19.46145086717855); np.float64(43145.029080898275)],-1.293019201,3.4,310.4,-1.3,PKQA-4B,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-4C,307,42,310.4,42,3.4,0,PKQA-4C,4,sun compass orientation,0,307,42,0,0,yes,359,7,2024,3,12,10,48,1,nan,310.4,[np.float64(358.7069807986478); np.float64(19.46145086717855); np.float64(43145.029080898275)],-1.293019201,3.4,310.4,-1.3,PKQA-4C,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-4D,307,42,310.4,42,3.4,0,PKQA-4D,4,sun compass orientation,0,307,42,0,0,yes,359,7,2024,3,12,10,48,1,nan,310.4,[np.float64(358.7069807986478); np.float64(19.46145086717855); np.float64(43145.029080898275)],-1.293019201,3.4,310.4,-1.3,PKQA-4D,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-4E,307,42,310.4,42,3.4,0,PKQA-4E,4,sun compass orientation,0,307,42,0,0,yes,359,7,2024,3,12,10,48,1,nan,310.4,[np.float64(358.7069807986478); np.float64(19.46145086717855); np.float64(43145.029080898275)],-1.293019201,3.4,310.4,-1.3,PKQA-4E,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-4F,307,42,310.4,42,3.4,0,PKQA-4F,4,sun compass orientation,0,307,42,0,0,yes,359,7,2024,3,12,10,48,1,nan,310.4,[np.float64(358.7069807986478); np.float64(19.46145086717855); np.float64(43145.029080898275)],-1.293019201,3.4,310.4,-1.3,PKQA-4F,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-4G,307,42,310.4,42,3.4,0,PKQA-4G,4,sun compass orientation,0,307,42,0,0,yes,359,7,2024,3,12,10,48,1,nan,310.4,[np.float64(358.7069807986478); np.float64(19.46145086717855); np.float64(43145.029080898275)],-1.293019201,3.4,310.4,-1.3,PKQA-4G,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-4H,307,42,310.4,42,3.4,0,PKQA-4H,4,sun compass orientation,0,307,42,0,0,yes,359,7,2024,3,12,10,48,1,nan,310.4,[np.float64(358.7069807986478); np.float64(19.46145086717855); np.float64(43145.029080898275)],-1.293019201,3.4,310.4,-1.3,PKQA-4H,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5A,278,49,279.4,49,1.4,0,PKQA-5A,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5A,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5B,278,49,279.4,49,1.4,0,PKQA-5B,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5B,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5C,278,49,279.4,49,1.4,0,PKQA-5C,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5C,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5D,278,49,279.4,49,1.4,0,PKQA-5D,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5D,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5E,278,49,279.4,49,1.4,0,PKQA-5E,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5E,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5F,278,49,279.4,49,1.4,0,PKQA-5F,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5F,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5G,278,49,279.4,49,1.4,0,PKQA-5G,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5G,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5H,278,49,279.4,49,1.4,0,PKQA-5H,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5H,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5I,278,49,279.4,49,1.4,0,PKQA-5I,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5I,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5J,278,49,279.4,49,1.4,0,PKQA-5J,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5J,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5K,278,49,279.4,49,1.4,0,PKQA-5K,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5K,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5L,278,49,279.4,49,1.4,0,PKQA-5L,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5L,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5M,278,49,279.4,49,1.4,0,PKQA-5M,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5M,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5N,278,49,279.4,49,1.4,0,PKQA-5N,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5N,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5O,278,49,279.4,49,1.4,0,PKQA-5O,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5O,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5P,278,49,279.4,49,1.4,0,PKQA-5P,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5P,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-5Q,278,49,279.4,49,1.4,0,PKQA-5Q,5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3,PKQA-5Q,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6A,283,54,280.7,54,-2.3,0,PKQA-6A,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6A,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6B,283,54,280.7,54,-2.3,0,PKQA-6B,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6B,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6C,283,54,280.7,54,-2.3,0,PKQA-6C,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6C,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6D,283,54,280.7,54,-2.3,0,PKQA-6D,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6D,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6E,283,54,280.7,54,-2.3,0,PKQA-6E,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6E,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6F,283,54,280.7,54,-2.3,0,PKQA-6F,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6F,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6G,283,54,280.7,54,-2.3,0,PKQA-6G,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6G,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6H,283,54,280.7,54,-2.3,0,PKQA-6H,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6H,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6I,283,54,280.7,54,-2.3,0,PKQA-6I,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6I,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6J,283,54,280.7,54,-2.3,0,PKQA-6J,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6J,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6K,283,54,280.7,54,-2.3,0,PKQA-6K,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6K,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6L,283,54,280.7,54,-2.3,0,PKQA-6L,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6L,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-6M,283,54,280.7,54,-2.3,0,PKQA-6M,6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3,PKQA-6M,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-7A,359,57,355.9,57,-3.1,0,PKQA-7A,7,sun compass orientation,0,359,57,0,0,yes,333,7,2024,3,12,12,36,1,nan,355.9,[np.float64(358.7069690156463); np.float64(19.461475459028506); np.float64(43145.03955093136)],-1.293030984,-3.1,355.9,-1.3,PKQA-7A,,,,,,,,,,,,,,,,,,,,,,,
PKQA,PKQA-7B,359,57,355.9,57,-3.1,0,PKQA-7B,7,sun compass orientation,0,359,57,0,0,yes,333,7,2024,3,12,12,36,1,nan,355.9,[np.float64(358.7069690156463); np.float64(19.461475459028506); np.float64(43145.03955093136)],-1.293030984,-3.1,355.9,-1.3,PKQA-7B,,,,,,,,,,,,,,,,,,,,,,,
