tab	samples
sample	site	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	height	geologic_classes	geologic_types	lithologies	analysts	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	location	tilt_correction
NWFB-1	NWFB												0						16.6	0.0	0.0	90.0	-12.0					
NWFB-1A	NWFB												0						16.6	0.0	0.0	90.0	-12.0					
NWFB-1B	NWFB	NWFB-1B		lt	288.2	14.9		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1B	NWFB	NWFB-1B		mt	124.9	-43.0		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1C	NWFB	NWFB-1C		mt	123.4	-42.7		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1C	NWFB	NWFB-1C		lt	286.0	12.1		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1D	NWFB	NWFB-1D		mt	123.5	-42.0		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1D	NWFB	NWFB-1D		lt	223.8	4.4		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1E	NWFB	NWFB-1E		mt	121.2	-39.8		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1E	NWFB	NWFB-1E		lt	144.5	-41.5		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1F	NWFB	NWFB-1F		mt	123.5	-37.2		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1F	NWFB	NWFB-1F		lt	117.5	-40.5		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1G	NWFB	NWFB-1G		mt	111.3	-41.8		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1G	NWFB	NWFB-1G		lt	113.5	-40.9		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1H	NWFB	NWFB-1H		mt	121.6	-39.9		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-1H	NWFB	NWFB-1H		lt	125.5	-38.0		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2	NWFB												0						209.6	0.0	0.0	90.0	-52.0					
NWFB-2A	NWFB												0						209.6	0.0	0.0	90.0	-52.0					
NWFB-2B	NWFB	NWFB-2B		mt	16.1	-27.2		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2B	NWFB	NWFB-2B		lt	16.9	-26.0		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2C	NWFB	NWFB-2C		mt	18.6	-26.1		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2C	NWFB	NWFB-2C		lt	16.0	-25.8		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2D	NWFB	NWFB-2D		lt	20.4	-24.5		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
