tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	NWF-B	NWF-A-	NWF	NWF-A-3B	NWF-A-3B_LP-DIR-T	shoemake 2025-04-25 18:28:58	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	18.1	323.2	l	g	71.1	15.8	7	0
This study	NWF-B	NWF-A-	NWF	NWF-A-3B	NWF-A-3B_LP-DIR-T	shoemake 2025-04-25 18:28:58	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	1.3	320.7	l	g	49.6	7.7	11	0
This study	NWF-B	NWF-A-	NWF	NWF-A-4B	NWF-A-4B_LP-DIR-T	shoemake 2025-05-01 16:40:56	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	24.5	161.7	l	g	-15.1	20.8	6	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-4B	NWF-A-4B_LP-DIR-T	shoemake 2025-05-01 16:40:56	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.9	206.7	l	g	-31.1	3.9	10	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-4B	NWF-A-4B_LP-DIR-T	shoemake 2025-05-01 16:40:56	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	24.5	311.2	l	g	40.6	20.8	6	0
This study	NWF-B	NWF-A-	NWF	NWF-A-4B	NWF-A-4B_LP-DIR-T	shoemake 2025-05-01 16:40:56	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.9	359.4	l	g	23.0	3.9	10	0
This study	NWF-B	NWF-A-	NWF	NWF-A-4C	NWF-A-4C_LP-DIR-T	shoemake 2025-05-01 16:43:16	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	13.8	177.6	l	g	-13.7	9.0	7	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-4C	NWF-A-4C_LP-DIR-T	shoemake 2025-05-01 16:43:16	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.4	209.2	l	g	-31.2	3.7	11	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-4C	NWF-A-4C_LP-DIR-T	shoemake 2025-05-01 16:43:16	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	13.8	331.4	l	g	45.2	9.0	7	0
This study	NWF-B	NWF-A-	NWF	NWF-A-4C	NWF-A-4C_LP-DIR-T	shoemake 2025-05-01 16:43:16	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.4	1.4	l	g	21.9	3.7	11	0
This study	NWF-B	NWF-A-	NWF	NWF-A-5B	NWF-A-5B_LP-DIR-T	shoemake 2025-04-25 18:36:15	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	12.6	109.5	l	g	-43.3	8.5	6	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-5B	NWF-A-5B_LP-DIR-T	shoemake 2025-04-25 18:36:15	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	0.6	87.7	l	g	-52.2	3.0	9	-1
